,est,ano,mes,dia,hora,temp,umid_inst,pto_orvalho_inst,pressao,vento_vel,vento_direcao,precipitacao
12,A873,2020,6,30,12,17.6,100,17.6,1003.9,0.0,31,0.0
12,A893,2020,6,30,12,13.6,97,13.2,956.9,4.1,4,5.4
12,A863,2020,6,30,12,15.6,95,14.8,955.4,0.0,269,0.0
12,A829,2020,6,30,12,14.3,89,12.6,869.9,////,///,0.0
12,A894,2020,6,30,12,13.8,95,13.0,948.8,1.3,117,0.6
12,B806,2020,6,30,12,15.8,85,13.2,906.3,5.8,347,0.0
10,A833,2020,6,30,12,13.4,97,12.9,957.6,0.8,116,5.4
3,A822,2020,6,30,12,17.5,85,14.9,937.3,0.0,36,0.0
12,A881,2020,6,30,12,12.2,95,11.4,986.5,2.5,243,0.2
12,A884,2020,6,30,12,15.9,///,/////,1006.0,2.0,61,5.6
12,A836,2020,6,30,12,13.9,99,13.7,1000.9,2.0,61,0.0
12,A898,2020,6,30,12,16.7,81,13.4,901.7,7.8,3,0.0
12,A815,2020,6,30,12,12.8,94,11.9,854.2,4.7,343,0.0
12,A807,2020,6,30,12,19.0,67,12.9,908.5,5.1,336,0.0
12,A809,2020,6,30,12,13.4,104,14.0,997.7,2.3,235,0.6
12,A837,2020,6,30,12,13.3,97,12.9,928.6,2.7,136,13.0
12,A876,2020,6,30,12,17.3,78,13.5,899.2,7.4,257,0.0
12,A824,2020,6,30,12,20.3,72,15.1,975.9,8.3,169,0.0
12,A879,2020,6,30,12,11.9,98,11.6,913.1,0.7,84,7.4
12,A856,2020,6,30,12,12.5,100,12.5,934.8,0.8,335,0.0
12,A841,2020,6,30,12,20.8,66,14.2,919.6,5.5,346,0.0
12,A875,2020,6,30,12,14.9,97,14.5,897.0,0.6,305,0.0
12,A814,2020,6,30,12,15.3,96,14.7,1002.5,0.8,344,0.0
12,A823,2020,6,30,12,12.7,99,12.5,877.2,3.1,148,0.0
12,A801,2020,6,30,12,15.6,97,15.2,1001.8,1.8,48,6.4
12,A834,2020,6,30,12,16.3,3,-28.7,1007.9,0.0,30,5.0
12,A818,2020,6,30,12,16.8,80,13.3,921.7,2.2,318,0.0
12,A827,2020,6,30,12,12.8,97,12.3,977.3,1.5,288,0.0
12,A860,2020,6,30,12,15.4,86,13.1,899.5,3.0,27,0.0
12,A855,2020,6,30,12,18.1,87,15.9,961.3,3.1,125,3.8
12,A821,2020,6,30,12,17.5,85,15.0,955.5,0.2,233,0.0
12,A858,2020,6,30,12,16.3,89,14.5,907.0,7.4,339,0.4
12,A871,2020,6,30,12,16.0,85,13.5,935.7,2.8,245,0.0
12,A848,2020,6,30,12,16.0,93,14.9,915.1,8.0,168,3.4
12,A828,2020,6,30,12,17.5,84,14.7,918.3,5.4,355,0.0
12,A806,2020,6,30,12,20.1,81,16.8,1010.2,2.2,342,0.0
12,A835,2020,6,30,12,19.3,71,13.9,950.7,4.2,144,0.0
12,B804,2020,6,30,12,18.6,76,14.3,916.4,5.2,340,0.4
12,A853,2020,6,30,12,13.9,99,13.8,954.9,0.5,67,2.8
12,A886,2020,6,30,12,13.8,97,13.3,951.7,1.0,154,2.8
12,A883,2020,6,30,12,14.4,100,14.4,950.9,1.3,159,4.0
12,A866,2020,6,30,12,19.8,79,16.0,1000.8,0.0,236,0.0
12,A812,2020,6,30,12,13.1,103,13.5,955.4,4.6,25,1.4
12,A826,2020,6,30,12,12.8,97,12.3,989.9,2.1,206,1.2
12,A820,2020,6,30,12,18.4,84,15.6,963.4,4.8,157,0.0
12,A882,2020,6,30,12,15.1,96,14.5,997.9,2.0,68,7.4
12,A868,2020,6,30,12,19.2,88,17.2,1009.6,2.0,3,0.6
12,A899,2020,6,30,12,14.3,99,14.2,1004.1,10.8,89,0.2
12,A840,2020,6,30,12,13.4,97,13.0,935.6,3.1,70,8.2
12,A862,2020,6,30,12,16.0,90,14.4,914.6,2.6,338,0.0
12,A844,2020,6,30,12,15.0,91,13.6,911.4,4.5,21,1.4
12,A802,2020,6,30,12,14.7,92,13.4,1003.8,3.2,54,0.4
12,A817,2020,6,30,12,16.7,98,16.4,1002.5,0.0,63,0.0
12,A813,2020,6,30,12,14.6,96,13.9,993.4,2.9,71,5.2
12,A895,2020,6,30,12,19.1,75,14.5,927.8,9.5,3,0.0
12,A852,2020,6,30,12,14.5,98,14.2,977.0,2.2,219,8.8
12,A859,2020,6,30,12,16.2,80,12.7,903.2,3.1,8,0.0
12,A804,2020,6,30,12,11.5,96,10.9,982.2,1.2,234,0.4
12,A864,2020,6,30,12,14.4,93,13.2,920.2,1.7,308,0.0
12,A819,2020,6,30,12,18.6,73,13.7,902.4,4.6,347,0.0
12,A803,2020,6,30,12,12.4,99,12.2,992.6,1.7,76,3.8
12,A880,2020,6,30,12,14.7,92,13.4,897.5,6.4,2,0.0
12,A851,2020,6,30,12,19.4,93,18.2,1010.0,0.0,183,0.0
12,A838,2020,6,30,12,15.7,100,15.7,994.7,2.6,33,4.4
12,A869,2020,6,30,12,20.0,78,16.0,969.8,1.7,283,0.0
12,A810,2020,6,30,12,14.7,96,14.1,972.7,2.2,137,0.2
12,A874,2020,6,30,12,15.5,89,13.8,923.4,1.9,118,0.0
12,A832,2020,6,30,12,13.3,97,12.9,990.2,3.9,40,1.0
12,A845,2020,6,30,12,9.2,100,9.2,812.7,17.7,323,2.8
12,A805,2020,6,30,12,13.6,99,13.4,948.4,0.0,138,2.2
12,A831,2020,6,30,12,13.1,97,12.7,991.6,2.5,241,0.0
12,A842,2020,6,30,12,17.1,84,14.4,938.9,0.0,261,0.0
12,A887,2020,6,30,12,14.1,///,/////,1002.8,2.7,67,0.0
12,A825,2020,6,30,12,19.4,75,14.8,955.7,////,///,0.0
12,A843,2020,6,30,12,19.8,77,15.7,945.1,4.7,50,0.0
12,A850,2020,6,30,12,19.5,81,16.2,977.7,3.4,318,0.0
12,A867,2020,6,30,12,15.1,///,/////,1007.9,2.2,241,0.0
